Date,Round,Group,Player 1,Player 2,Player 1 Score,Player 2 Score
6/11/2026,Group,Group A,Palin,frefromwig,673.61,22.15
6/11/2026,Group,Group A,LHinCH,Tones,864.61,22.12
6/11/2026,Group,Group B,bolthy,Norton,2804.09,1178.36
6/11/2026,Group,Group B,Pinea,Armadillo,7403.16,6635.89
6/11/2026,Group,Group C,dorian,Penguinish,2562.0,3267.98
6/11/2026,Group,Group C,potato,Martin,3313.77,1679.07
6/12/2026,Group,Group D,deslagen,VinceSz (Perikeme),6969.5,428.57
6/12/2026,Group,Group D,maclang23,WaiHong,746.16,8190.39
6/12/2026,Group,Group E,maplemanatee,insomnia,1327.88,1302.98
6/12/2026,Group,Group E,madmit,minette,8442.43,1404.18
6/12/2026,Group,Group F,Morphior,Muik,4912.3,4072.4
6/12/2026,Group,Group F,josh,Daws,6685.13,2219.27
6/13/2026,Group,Group G,hateornges,Rretro,7254.71,6495.3
6/13/2026,Group,Group G,Mikael,Talking Nonsense,7388.32,2656.38
6/13/2026,Group,Group H,Sean,Summitblvd,734.04,4408.11
6/13/2026,Group,Group H,pandem,Boltenhagen,445.99,4239.32
6/13/2026,Group,Group I,Wowa,Miss Inputs,898.21,10414.39
6/13/2026,Group,Group I,FurkanSevim,yoyo,2566.44,447.36
6/14/2026,Group,Group J,blastoform,Jack,6771.86,266.6
6/14/2026,Group,Group J,mlc,DjinN,1034.22,670.57
6/14/2026,Group,Group K,ThomasThTrain,AardvarkChan,1800.83,2905.25
6/14/2026,Group,Group K,Yelldosh,Major Bajor,908.43,1250.28
6/14/2026,Group,Group L,FrankL,Puerto Vallarta,1191.74,6418.98
6/14/2026,Group,Group L,Emily,Qubillou,5995.88,9232.75
6/15/2026,Group,Group M,jpeters,Rikk,7962.2,496.47
6/15/2026,Group,Group M,Cellery,tastyCheese,228.26,10406.01
6/15/2026,Group,Group N,Finland Taipan,MrBizzaros,1537.73,8069.11
6/15/2026,Group,Group N,Jeune Herisson,BD82,1189.35,754.4
6/15/2026,Group,Group O,MKA,Ben Keller,6020.68,4026.84
6/15/2026,Group,Group O,DuckDuck,OKobern,4967.29,11707.29
6/16/2026,Group,Group P,Patxepi,Salat,4684.66,5011.37
6/16/2026,Group,Group P,MINA,fgeva,6032.52,1854.5
6/16/2026,Group,Group Q,Johann Sebastian Bach,JCirrus,12956.91,5116.02
6/16/2026,Group,Group Q,Kasperdk ;I,vel,822.4,15020.88
6/16/2026,Group,Group A,Tones,Palin,1412.78,2895.76
6/16/2026,Group,Group A,LHinCH,frefromwig,4362.14,4404.29
6/17/2026,Group,Group B,Norton,Pinea,1512.07,5740.43
6/17/2026,Group,Group B,bolthy,Armadillo,2946.72,5049.1
6/17/2026,Group,Group C,Martin,dorian,3249.68,4340.81
6/17/2026,Group,Group C,potato,Penguinish,5962.68,5689.12
6/17/2026,Group,Group D,WaiHong,deslagen,267.68,763.77
6/17/2026,Group,Group D,maclang23,VinceSz (Perikeme),268.81,6246.57
6/18/2026,Group,Group E,madmit,insomnia,4595.9,11697.38
6/18/2026,Group,Group E,minette,maplemanatee,7192.45,824.6
6/18/2026,Group,Group F,Morphior,Daws,1532.96,1826.29
6/18/2026,Group,Group F,Muik,josh,1527.71,2820.93
6/18/2026,Group,Group G,Mikael,Rretro,6589.46,5013.28
6/18/2026,Group,Group G,Talking Nonsense,hateornges,685.34,736.93
6/19/2026,Group,Group H,Boltenhagen,Sean,24.01,158.52
6/19/2026,Group,Group H,pandem,Summitblvd,74.98,61.78
6/19/2026,Group,Group I,yoyo,Wowa,9555.75,8440.01
6/19/2026,Group,Group I,FurkanSevim,Miss Inputs,12237.44,9992.83
6/19/2026,Group,Group J,mlc,Jack,424.0,4046.51
6/19/2026,Group,Group J,DjinN,blastoform,4957.09,4610.45
6/20/2026,Group,Group K,Major Bajor,ThomasThTrain,2727.66,8039.96
6/20/2026,Group,Group K,Yelldosh,AardvarkChan,538.34,1042.17
6/20/2026,Group,Group L,Puerto Vallarta,Emily,34.64,922.24
6/20/2026,Group,Group L,FrankL,Qubillou,539.2,8452.38
6/20/2026,Group,Group M,jpeters,tastyCheese,4398.16,4967.45
6/20/2026,Group,Group M,Rikk,Cellery,4631.65,4615.38
6/21/2026,Group,Group N,Jeune Herisson,MrBizzaros,1988.56,10908.63
6/21/2026,Group,Group N,BD82,Finland Taipan,2115.9,2719.17
6/21/2026,Group,Group O,OKobern,MKA,10178.7,3443.11
6/21/2026,Group,Group O,DuckDuck,Ben Keller,3475.05,1820.81
6/21/2026,Group,Group P,Salat,MINA,4039.09,3937.43
6/21/2026,Group,Group P,Patxepi,fgeva,9432.47,9860.71
6/22/2026,Group,Group Q,vel,Johann Sebastian Bach,7179.87,180.94
6/22/2026,Group,Group Q,Kasperdk ;I,JCirrus,739.35,110.08
6/22/2026,Group,Group A,frefromwig,Tones,7428.39,5573.15
6/22/2026,Group,Group A,LHinCH,Palin,9036.63,737.14
6/22/2026,Group,Group B,Armadillo,Norton,13135.9,1219.78
6/22/2026,Group,Group B,bolthy,Pinea,311.78,9134.82
6/23/2026,Group,Group C,potato,dorian,,
6/23/2026,Group,Group C,Penguinish,Martin,,
6/23/2026,Group,Group D,maclang23,deslagen,,
6/23/2026,Group,Group D,VinceSz (Perikeme),WaiHong,,
6/23/2026,Group,Group E,insomnia,minette,116.66,303.97
6/23/2026,Group,Group E,madmit,maplemanatee,992.19,118.81
6/24/2026,Group,Group F,Morphior,josh,,
6/24/2026,Group,Group F,Daws,Muik,,
6/24/2026,Group,Group G,Rretro,Talking Nonsense,,
6/24/2026,Group,Group G,Mikael,hateornges,,
6/24/2026,Group,Group H,Summitblvd,Boltenhagen,,
6/24/2026,Group,Group H,pandem,Sean,,
6/25/2026,Group,Group I,FurkanSevim,Wowa,,
6/25/2026,Group,Group I,Miss Inputs,yoyo,,
6/25/2026,Group,Group J,mlc,blastoform,,
6/25/2026,Group,Group J,Jack,DjinN,,
6/25/2026,Group,Group K,AardvarkChan,Major Bajor,,
6/25/2026,Group,Group K,Yelldosh,ThomasThTrain,,
6/26/2026,Group,Group L,FrankL,Emily,,
6/26/2026,Group,Group L,Qubillou,Puerto Vallarta,,
6/26/2026,Group,Group M,jpeters,Cellery,,
6/26/2026,Group,Group M,tastyCheese,Rikk,,
6/26/2026,Group,Group N,Jeune Herisson,Finland Taipan,,
6/26/2026,Group,Group N,MrBizzaros,BD82,,
6/27/2026,Group,Group O,DuckDuck,MKA,,
6/27/2026,Group,Group O,Ben Keller,OKobern,,
6/27/2026,Group,Group P,fgeva,Salat,,
6/27/2026,Group,Group P,Patxepi,MINA,,
6/27/2026,Group,Group Q,JCirrus,vel,,
6/27/2026,Group,Group Q,Kasperdk ;I,Johann Sebastian Bach,,
